code,value,count,state,id
AK,1.1838594931080482,35984,Alaska,02
AL,1.5372896613807907,28882,Alabama,01
AR,2.8461322307414396,24911,Arkansas,05
AZ,0.6438376728437276,179859,Arizona,04
CA,1.177213598145168,707773,California,06
CO,1.1732379065754999,234735,Colorado,08
CT,1.7939843026373519,20513,Connecticut,09
DE,5,100,Delaware,10
FL,1.0506329395685727,449253,Florida,12
GA,0.7059897550337272,394340,Georgia,13
HI,0.4257773582926957,95355,Hawaii,15
IA,3.235059760956175,18825,Iowa,19
ID,1.2085244132721877,18535,Idaho,16
IL,2.6672818683643684,418291,Illinois,17
IN,1.969396098586614,42805,Indiana,18
KS,2.6152556580050295,11930,Kansas,20
KY,2.4074855426770245,40291,Kentucky,21
LA,1.5648463924325993,71253,Louisiana,22
MA,2.2909957760026765,119555,Massachusetts,25
MD,1.6503544064356384,94101,Maryland,24
ME,2.576112412177986,5551,Maine,23
MI,1.4703028275054375,149425,Michigan,26
MN,0.7710954634653122,129945,Minnesota,27
MO,1.3600992003436863,102419,Missouri,29
MS,2.071088720962776,14292,Mississippi,28
MT,0.8367422833767201,16134,Montana,30
NC,1.3903563837060424,160894,North Carolina,37
ND,1.9768083931529543,18110,North Dakota,38
NE,1.6553111710640631,21869,Nebraska,31
NH,2.2419566166836513,6869,New Hampshire,33
NJ,2.78564244724098,118321,New Jersey,34
NM,1.5023667421280098,24295,New Mexico,35
NV,0.6942368997808328,160608,Nevada,32
NY,2.9380519098082925,268273,New York,36
OH,2.170863176548771,81258,Ohio,39
OK,1.8766833676040429,34529,Oklahoma,40
OR,0.6117060531019892,60977,Oregon,41
PA,1.5729698514111812,109093,Pennsylvania,42
RI,2.2458045409674234,12156,Rhode Island,44
SC,1.8958868894601542,31120,South Carolina,45
SD,2.155903782812656,10019,South Dakota,46
TN,2.0703006836469235,82645,Tennessee,47
TX,1.9859116849287588,687946,Texas,48
UT,0.38443541209824666,108991,Utah,49
VA,2.3289578754941367,151527,Virginia,51
VT,2.7660853878532774,3326,Vermont,50
WA,0.40896765302947236,134974,Washington,53
WI,2.274105518496058,56066,Wisconsin,55
WV,2.261402836335761,2609,West Virginia,54
WY,1.7270959624842732,8743,Wyoming,56
