count,airport,source_lat,source_long,target_lat,target_long
986,Lehigh Valley International Airport,40.65236,-75.4404,33.64044,-84.42694
786,Lehigh Valley International Airport,40.65236,-75.4404,42.21206,-83.34884
741,Lehigh Valley International Airport,40.65236,-75.4404,41.9796,-87.90446
2530,Abilene Regional Airport,32.41132,-99.6819,32.89595,-97.0372
892,Albuquerque International Sunport,35.04022,-106.60919,33.64044,-84.42694
573,Albuquerque International Sunport,35.04022,-106.60919,39.1754,-76.6682
95,Albuquerque International Sunport,35.04022,-106.60919,35.21401,-80.94313
1726,Albuquerque International Sunport,35.04022,-106.60919,32.84711,-96.85177
1754,Albuquerque International Sunport,35.04022,-106.60919,39.85841,-104.667
1982,Albuquerque International Sunport,35.04022,-106.60919,32.89595,-97.0372
1022,Albuquerque International Sunport,35.04022,-106.60919,29.64542,-95.27889
925,Albuquerque International Sunport,35.04022,-106.60919,29.98047,-95.33972
302,Albuquerque International Sunport,35.04022,-106.60919,40.63975,-73.77893
1384,Albuquerque International Sunport,35.04022,-106.60919,36.08036,-115.15233
2010,Albuquerque International Sunport,35.04022,-106.60919,33.94254,-118.40807
346,Albuquerque International Sunport,35.04022,-106.60919,39.29761,-94.71391
99,Albuquerque International Sunport,35.04022,-106.60919,28.42889,-81.31603
722,Albuquerque International Sunport,35.04022,-106.60919,41.78598,-87.75242
246,Albuquerque International Sunport,35.04022,-106.60919,44.88055,-93.21692
877,Albuquerque International Sunport,35.04022,-106.60919,37.72129,-122.22072
640,Albuquerque International Sunport,35.04022,-106.60919,41.9796,-87.90446
255,Albuquerque International Sunport,35.04022,-106.60919,45.58872,-122.5975
2646,Albuquerque International Sunport,35.04022,-106.60919,33.43417,-112.00806
672,Albuquerque International Sunport,35.04022,-106.60919,32.73356,-117.18966
439,Albuquerque International Sunport,35.04022,-106.60919,47.44898,-122.30931
365,Albuquerque International Sunport,35.04022,-106.60919,37.619,-122.37484
1036,Albuquerque International Sunport,35.04022,-106.60919,40.78839,-111.97777
742,Aberdeen Regional Airport,45.44906,-98.42183,44.88055,-93.21692
963,Southwest Georgia Regional Airport,31.535520000000002,-84.19447,33.64044,-84.42694
125,Nantucket Memorial Airport,41.25305,-70.06018,42.36435,-71.00518
41,Nantucket Memorial Airport,41.25305,-70.06018,38.85208,-77.03772
354,Nantucket Memorial Airport,41.25305,-70.06018,40.63975,-73.77893
1760,Waco Regional Airport,31.61129,-97.23052,32.89595,-97.0372
1442,Arcata Airport,40.97812,-124.10862,37.619,-122.37484
210,Atlantic City International Airport,39.45758,-74.57717,33.64044,-84.42694
182,Atlantic City International Airport,39.45758,-74.57717,42.36435,-71.00518
147,Atlantic City International Airport,39.45758,-74.57717,42.21206,-83.34884
879,Atlantic City International Airport,39.45758,-74.57717,26.07258,-80.15275
856,Atlantic City International Airport,39.45758,-74.57717,28.42889,-81.31603
365,Atlantic City International Airport,39.45758,-74.57717,33.67975,-78.92833
147,Atlantic City International Airport,39.45758,-74.57717,41.9796,-87.90446
155,Atlantic City International Airport,39.45758,-74.57717,26.68316,-80.09559
514,Atlantic City International Airport,39.45758,-74.57717,26.53617,-81.75517
365,Atlantic City International Airport,39.45758,-74.57717,27.97547,-82.53325
105,Adak Airport,51.87796,-176.64603,61.17432,-149.99619
491,Kodiak Airport,57.74997,-152.49386,61.17432,-149.99619
1344,Alexandria International Airport,31.32737,-92.54856,33.64044,-84.42694
1074,Alexandria International Airport,31.32737,-92.54856,32.89595,-97.0372
1010,Alexandria International Airport,31.32737,-92.54856,29.98047,-95.33972
2583,Augusta Regional Airport (Bush Field),33.36996,-81.9645,33.64044,-84.42694
1,Augusta Regional Airport (Bush Field),33.36996,-81.9645,40.77724,-73.87261
63,King Salmon Airport,58.6768,-156.64922,61.17432,-149.99619
1025,Albany International Airport,42.74812,-73.80298,33.64044,-84.42694
1876,Albany International Airport,42.74812,-73.80298,39.1754,-76.6682
790,Albany International Airport,42.74812,-73.80298,35.21401,-80.94313
9,Albany International Airport,42.74812,-73.80298,39.85841,-104.667
551,Albany International Airport,42.74812,-73.80298,42.21206,-83.34884
205,Albany International Airport,42.74812,-73.80298,40.6925,-74.16866
345,Albany International Airport,42.74812,-73.80298,26.07258,-80.15275
3,Albany International Airport,42.74812,-73.80298,38.94453,-77.45581
305,Albany International Airport,42.74812,-73.80298,36.08036,-115.15233
727,Albany International Airport,42.74812,-73.80298,28.42889,-81.31603
730,Albany International Airport,42.74812,-73.80298,41.78598,-87.75242
232,Albany International Airport,42.74812,-73.80298,44.88055,-93.21692
976,Albany International Airport,42.74812,-73.80298,41.9796,-87.90446
5,Albany International Airport,42.74812,-73.80298,26.53617,-81.75517
414,Albany International Airport,42.74812,-73.80298,27.97547,-82.53325
674,Waterloo Regional Airport,42.55708,-92.40034,41.9796,-87.90446
1330,Rick Husband Amarillo International Airport,35.21937,-101.70593,32.84711,-96.85177
598,Rick Husband Amarillo International Airport,35.21937,-101.70593,39.85841,-104.667
1241,Rick Husband Amarillo International Airport,35.21937,-101.70593,32.89595,-97.0372
987,Rick Husband Amarillo International Airport,35.21937,-101.70593,29.98047,-95.33972
365,Rick Husband Amarillo International Airport,35.21937,-101.70593,36.08036,-115.15233
105,Ted Stevens Anchorage International Airport,61.17432,-149.99619,51.87796,-176.64603
491,Ted Stevens Anchorage International Airport,61.17432,-149.99619,57.74997,-152.49386
63,Ted Stevens Anchorage International Airport,61.17432,-149.99619,58.6768,-156.64922
102,Ted Stevens Anchorage International Airport,61.17432,-149.99619,33.64044,-84.42694
980,Ted Stevens Anchorage International Airport,61.17432,-149.99619,60.77978,-161.838
208,Ted Stevens Anchorage International Airport,61.17432,-149.99619,71.28545,-156.766
362,Ted Stevens Anchorage International Airport,61.17432,-149.99619,60.49183,-145.47765
439,Ted Stevens Anchorage International Airport,61.17432,-149.99619,39.85841,-104.667
123,Ted Stevens Anchorage International Airport,61.17432,-149.99619,32.89595,-97.0372
77,Ted Stevens Anchorage International Airport,61.17432,-149.99619,59.04541,-158.50334
7,Ted Stevens Anchorage International Airport,61.17432,-149.99619,40.6925,-74.16866
365,Ted Stevens Anchorage International Airport,61.17432,-149.99619,64.81368,-147.85967
275,Ted Stevens Anchorage International Airport,61.17432,-149.99619,21.31869,-157.92241
84,Ted Stevens Anchorage International Airport,61.17432,-149.99619,29.98047,-95.33972
1122,Ted Stevens Anchorage International Airport,61.17432,-149.99619,58.35496,-134.57628
44,Ted Stevens Anchorage International Airport,61.17432,-149.99619,19.73877,-156.04563
84,Ted Stevens Anchorage International Airport,61.17432,-149.99619,36.08036,-115.15233
413,Ted Stevens Anchorage International Airport,61.17432,-149.99619,33.94254,-118.40807
118,Ted Stevens Anchorage International Airport,61.17432,-149.99619,33.81772,-118.15161
637,Ted Stevens Anchorage International Airport,61.17432,-149.99619,44.88055,-93.21692
67,Ted Stevens Anchorage International Airport,61.17432,-149.99619,20.89865,-156.43046
414,Ted Stevens Anchorage International Airport,61.17432,-149.99619,64.512200000000007,-165.44525
697,Ted Stevens Anchorage International Airport,61.17432,-149.99619,41.9796,-87.90446
674,Ted Stevens Anchorage International Airport,61.17432,-149.99619,66.88468,-162.59855
975,Ted Stevens Anchorage International Airport,61.17432,-149.99619,45.58872,-122.5975
423,Ted Stevens Anchorage International Airport,61.17432,-149.99619,33.43417,-112.00806
728,Ted Stevens Anchorage International Airport,61.17432,-149.99619,70.19476,-148.46516
6870,Ted Stevens Anchorage International Airport,61.17432,-149.99619,47.44898,-122.30931
172,Ted Stevens Anchorage International Airport,61.17432,-149.99619,37.619,-122.37484
98,Ted Stevens Anchorage International Airport,61.17432,-149.99619,40.78839,-111.97777
626,Alpena County Regional Airport,45.07807,-83.56029,42.21206,-83.34884
101,Aspen-Pitkin County Airport,39.22316,-106.86885,33.64044,-84.42694
1126,Aspen-Pitkin County Airport,39.22316,-106.86885,39.85841,-104.667
335,Aspen-Pitkin County Airport,39.22316,-106.86885,32.89595,-97.0372
415,Aspen-Pitkin County Airport,39.22316,-106.86885,29.98047,-95.33972
798,Aspen-Pitkin County Airport,39.22316,-106.86885,33.94254,-118.40807
24,Aspen-Pitkin County Airport,39.22316,-106.86885,44.88055,-93.21692
621,Aspen-Pitkin County Airport,39.22316,-106.86885,41.9796,-87.90446
201,Aspen-Pitkin County Airport,39.22316,-106.86885,37.619,-122.37484
992,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,40.65236,-75.4404
894,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,35.04022,-106.60919
963,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,31.535520000000002,-84.19447
209,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,39.45758,-74.57717
1344,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,31.32737,-92.54856
2583,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,33.36996,-81.9645
1025,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,42.74812,-73.80298
102,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,61.17432,-149.99619
100,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,39.22316,-106.86885
446,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,44.25741,-88.51948
3453,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,30.19453,-97.66987
2013,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,35.43619,-82.54181
360,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,41.33815,-75.72427
19,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,42.23488,-85.55206
2540,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,41.93887,-72.68323
3524,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,33.56294,-86.75355
964,Hartsfield-Jackson Atlanta International Airport,33.64044,-84.42694,40.47799,-88.91595
